年,類型,改善點,主辦業者,通訊技術,是否包含原鄉部落,是否為法定偏遠地區,是否為原鄉,步道名稱,設置手機標記牌地點,行政區域代碼,改善點經度,改善點緯度,中華電信,遠傳電信,台灣大哥大,台灣之星,亞太電信,是否為林務局指定改善點
109,山峰,玉山北峰,台灣大哥大,4G,是,是,是,玉山北峰（八通關東段線）,距山風登山口約4.5K，瓦拉米9.1K,10008120,120.959672,23.487452,1,1,1,0,0,是
109,山莊及山屋,檜谷山莊(屏東泰武),遠傳電信,4G,是,是,是,"檜谷山莊
舊筏灣部落","檜谷山莊
舊筏灣部落",10013280,120.716297,22.673006,1,1,1,1,1,是
109,山莊及山屋,九九山莊(苗栗泰安),中華電信,4G,是,是,是,九九山莊,泰安鄉九九山莊,10005180,121.213569,24.474778,1,1,1,1,1,是
109,山莊及山屋,天池山莊(南投仁愛),遠傳電信,4G,是,是,是,"能高越嶺西段
天池山莊","能高越嶺道西段
(0.2K/雲海保線所/天池山莊/光被八表/南華山山徑)",10015110,121.282575,24.034856,1,1,1,1,1,是
109,山莊及山屋,向陽山屋(台東海端),台灣大哥大,4G,是,是,是,向陽山屋,向陽山屋、嘉明湖避難山屋,10014120,120.984111,23.262389,1,1,1,1,1,是
109,山莊及山屋,嘉明湖山屋(台東海端),台灣大哥大,4G,是,是,是,嘉明湖避難山屋,向陽山屋、嘉明湖避難山屋,10014120,120.996925,23.283828,1,1,1,1,1,是
109,國家森林遊樂園,合歡山國家森林遊樂區2站,台灣大哥大,4G,否,是,是,合歡山國家森林遊樂區（松雪樓大廳及2-3樓住宿區域）,合歡山森林遊樂區、松雪樓及部分山林步道,10015110,121.284589,24.141958,1,1,1,1,0,是
109,國家森林遊樂園,合歡山國家森林遊樂區2站,台灣大哥大,4G,否,是,是,合歡山國家森林遊樂區（滑雪山莊1-2樓住宿區域）,合歡山森林遊樂區、松雪樓及部分山林步道,10015110,121.287539,24.139739,1,1,1,1,0,是
109,國家森林遊樂園,滿月圓滿足小橋(新北三峽),遠傳電信,4G,否,是,否,滿月圓國家森林遊樂區滿月圓森林小舖,滿月圓森林小舖,65000090,121.449161,24.822122,1,1,1,1,0,是
109,山徑步道及林道,台灣山毛櫸步道2站,台灣大哥大,4G,否,是,否,山毛櫸步道入口廣場,翠峰山屋,10002110,121.609994,24.513183,0,1,1,1,0,是
109,山徑步道及林道,台灣山毛櫸步道2站,台灣大哥大,4G,否,是,否,山毛櫸步道終點展望台,翠峰山屋,10002110,121.631083,24.505592,0,1,1,1,0,是
109,山徑步道及林道,望洋山步道2站,台灣大哥大,4G,否,是,否,望洋山步道入口,翠峰山屋,10002110,121.609014,24.510289,0,1,1,1,0,是
109,山徑步道及林道,望洋山步道2站,台灣大哥大,4G,否,是,否,望洋山步道終點,翠峰山屋,10002110,121.616319,24.511106,0,1,1,1,0,是
109,山徑步道及林道,翠峰湖環山步道2站,台灣大哥大,4G,否,是,否,翠峰湖環山步道西入口,翠峰山屋,10002110,121.600647,24.512803,0,1,1,1,0,是
109,山徑步道及林道,翠峰湖環山步道2站,台灣大哥大,4G,否,是,否,翠峰湖環山步道東入口,翠峰山屋,10002110,121.608592,24.510778,0,1,1,1,0,是
109,山徑步道及林道,見晴懷古步道2站,台灣大哥大,4G,否,是,否,見晴懷古步道入口,太平林道8.5K、10.8K、13K、15.8K、22K、鳩之澤溫泉,10002110,121.525678,24.505211,1,1,1,1,0,是
109,山徑步道及林道,見晴懷古步道2站,台灣大哥大,4G,否,是,否,見晴懷古步道終點,太平林道8.5K、10.8K、13K、15.8K、22K、鳩之澤溫泉,10002110,121.522939,24.498836,1,1,1,1,0,是
109,山徑步道及林道,都蘭山步道2站,中華電信,3G/4G,是,是,是,都蘭山步道,步道1.4K,10014070,121.176833,22.880694,1,1,0,1,0,是
109,山徑步道及林道,都蘭山步道2站,中華電信,3G/4G,是,是,是,都蘭山步道,步道3.8K,10014070,121.18825,22.895139,1,1,1,0,0,是
109,山徑步道及林道,能高越嶺道西段2站-實際4站,遠傳電信,4G,是,是,是,"能高越嶺道西段
(0.2K)","能高越嶺道西段
(0.2K/雲海保線所/天池山莊/光被八表/南華山山徑)",10015110,121.282575,24.034856,1,1,1,1,1,是
109,山徑步道及林道,能高越嶺道西段2站-實際4站,遠傳電信,4G,是,是,是,"能高越嶺道西段
(雲海保線所)","能高越嶺道西段
(0.2K/雲海保線所/天池山莊/光被八表/南華山山徑)",10015110,121.282575,24.034856,1,1,1,1,1,是
109,山徑步道及林道,能高越嶺道西段2站-實際4站,遠傳電信,4G,是,是,是,"能高越嶺道西段
(光被八表)","能高越嶺道西段
(0.2K/雲海保線所/天池山莊/光被八表/南華山山徑)",10015110,121.282575,24.034856,1,1,1,1,1,是
109,山徑步道及林道,能高越嶺道西段2站-實際4站,遠傳電信,4G,是,是,是,"能高越嶺道西段
(南華山山徑)","能高越嶺道西段
(0.2K/雲海保線所/天池山莊/光被八表/南華山山徑)",10015110,121.282575,24.034856,1,1,1,1,1,是
109,山徑步道及林道,紅石步道2站,中華電信,3G/4G,是,否,是,紅石步道,林道3.5K,10014030,121.150833,23.059417,1,1,1,1,1,是
109,山徑步道及林道,紅石步道2站,中華電信,3G/4G,是,否,是,紅石步道,林道4.6K,10014030,121.146472,23.056722,1,1,1,1,1,是
109,山徑步道及林道,鳩之澤自然步道,台灣大哥大,4G,否,是,否,鳩之澤自然步道入口,太平林道8.5K、10.8K、13K、15.8K、22K、鳩之澤溫泉,10002110,121.507117,24.546697,1,1,1,1,0,是
109,山徑步道及林道,松羅步道,遠傳電信,4G,是,是,是,松羅湖山徑,松羅湖山徑舊廢棄登山口,10002110,121.5757,24.6763,1,1,0,0,0,是
109,山徑步道及林道,金瓜寮魚蕨步道,中華電信,3G/4G,否,是,否,金瓜寮魚蕨步道,步道入口,65000200,121.674194,24.903306,1,0,0,0,0,是
109,山徑步道及林道,林美石磐步道,中華電信,3G/4G,否,否,否,林美石磐步道,步道入口,10002050,121.733694,24.827111,1,1,1,1,0,是
109,山徑步道及林道,巴博庫魯山徑入口,中華電信,3G/4G,是,是,是,巴博庫魯山徑入口,110林道柵欄口,65000290,121.477668,24.673141,1,1,0,0,0,是
109,山徑步道及林道,阿玉山山徑,中華電信,3G/4G,否,否,否,阿玉山山徑,山徑入口,10002070,121.614889,24.773306,1,1,1,0,0,是
109,山徑步道及林道,拉拉山巨木群步道,中華電信,3G/4G,是,是,是,拉拉山巨木群步道,生態教育館,68000130,121.433083,24.711028,1,1,1,1,0,是
109,山徑步道及林道,里美避難步道,中華電信,3G/4G,是,是,是,里美避難步道,涼亭,10010180,120.689056,23.380861,1,1,1,1,1,是
